ms	count	scm/mpm
10	5809	1
10	10160	1
10	10144	1
10	10820	1
15	6568	2
8	11171	1
15	3007	2
13	4928	2
8	4442	1
13	5478	2
13	4349	2
10	3224	2
10	4834	2
6	7465	1
7	8009	1
7	7627	1
9	3889	2
9	4221	2
8	10769	2
8	10816	2
15	7036	2
11	5723	2
11	5859	2
8	2867	2
8	2168	2
7	4498	2
7	5447	1
6	4782	1
8	12227	1
8	7723	1
13	1225	2
13	1179	2
10	2468	2
10	3499	2
6.8	7801	1
6.8	4952	1
6.5	9662	1
6.5	6397	1
6.5	6049	1
6.5	11992	1
6.5	3335	1
6.5	11106	1
8	6588	1
7.6	7079	1
8	2816	2
8	3817	2
8	6682	2
7	11920	2

